,PCS_ESE,label,Effectifs en EQTP,Salaire moyen en EQTP
256,461c,"Secrétaires de niveau supérieur (non cadres, hors secrétaires de direction)",40210,2300
278,477d,Techniciens de l'environnement et du traitement des pollutions,17840,2400
277,625h,"Ouvriers qualifiés des autres industries (eau, gaz, énergie, chauffage)",16550,2400
276,625c,Autres opérateurs et ouvriers qualifiés de la chimie (y.c. pharmacie) et de la plasturgie,59410,2400
275,625a,"Pilotes d'installation lourde des industries de transformation : agroalimentaire, chimie, plasturgie, énergie",20830,2400
274,480a,"Contremaîtres et agents d'encadrement (non cadres) en agriculture, sylviculture",3310,2400
273,479b,"Experts salariés de niveau technicien, techniciens divers",62260,2400
271,478a,Techniciens d'étude et de développement en informatique,56060,2400
270,692a,Marins-pêcheurs et ouvriers de l'aquaculture,1010,2400
269,628b,"Electromécaniciens, électriciens qualifiés d'entretien : équipements industriels",37790,2400
268,476b,"Techniciens de l'industrie des matériaux souples, de l'ameublement et du bois",6690,2400
267,637c,Ouvriers et techniciens des spectacles vivants et audiovisuels,9930,2400
272,462a,Chefs de petites surfaces de vente,30540,2400
265,467d,Professions intermédiaires techniques des organismes de sécurité sociale,15300,2400
266,465a,"Concepteurs et assistants techniques des arts graphiques, de la mode et de la décoration salariés",23550,2400
26,434b,Assistants de service social,12080,2400
27,451e,"Autres personnels administratifs de catégorie B de l'Etat (hors Enseignement, Patrimoine, Impôts, Trésor, Douanes)",82060,2400
29,531b,Agents des polices municipales,21840,2400
30,522a,"Agents de constatation ou de recouvrement des Impôts, du Trésor, des Douanes",4780,2400
28,434d,Educateurs spécialisés,50990,2400
261,472c,Métreurs et techniciens divers du bâtiment et des travaux publics,56860,2400
262,473a,"Dessinateurs en électricité, électromécanique et électronique",7530,2400
263,621a,Chefs d'équipe du gros oeuvre et des travaux publics,36850,2400
264,656c,Capitaines et matelots timoniers de la navigation fluviale,1910,2400
260,462c,"Acheteurs non classés cadres, aides-acheteurs",28420,2400
288,473c,"Techniciens de fabrication et de contrôle-qualité en électricité, électromécanique et électronique",29180,2500
293,545a,Employés administratifs des services techniques de la banque,12630,2500
292,487a,"Responsables d'entrepôt, de magasinage",39310,2500
291,477a,"Techniciens de la logistique, du planning et de l'ordonnancement",65770,2500
289,474a,Dessinateurs en construction mécanique et travail des métaux,18430,2500
287,487b,"Responsables du tri, de l'emballage, de l'expédition et autres responsables de la manutention",18870,2500
280,461f,Maîtrise et techniciens administratifs des autres services administratifs,120560,2500
284,656b,Matelots de la marine marchande,3460,2500
283,461e,Maîtrise et techniciens administratifs des services juridiques ou du personnel,66830,2500
282,467b,Techniciens des opérations bancaires,30260,2500
281,467a,Chargés de clientèle bancaire,109120,2500
279,435a,Directeurs de centres socioculturels et de loisirs,8590,2500
286,461b,"Secrétaires de direction, assistants de direction (non cadres)",79920,2500
290,478b,"Techniciens de production, d'exploitation en informatique",22740,2500
285,461d,Maîtrise et techniciens des services financiers ou comptables,124130,2500
32,421b,Professeurs des écoles,370930,2500
31,311d,"Psychologues, psychanalystes, psychothérapeutes (non médecins)",13420,2500
33,432b,"Masseurs-kinésithérapeutes rééducateurs, salariés",6330,2500
34,531c,Surveillants de l'administration pénitentiaire,28230,2500
35,472d,Techniciens des travaux publics de l'Etat et des collectivités locales,65700,2500
308,482a,"Agents de maîtrise en fabrication de matériel électrique, électronique",3760,2600
294,477c,Techniciens d'installation et de maintenance des équipements non industriels (hors informatique et télécommunications),60560,2600
295,477b,"Techniciens d'installation et de maintenance des équipements industriels (électriques, électromécaniques, mécaniques, hors informatique)",119620,2600
296,462e,Autres professions intermédiaires commerciales (sauf techniciens des forces de vente),126070,2600
297,463a,"Techniciens commerciaux et technico-commerciaux, représentants en informatique",10540,2600
298,433b,Opticiens lunetiers et audioprothésistes salariés,15940,2600
299,486e,"Agents de maîtrise en entretien général, installation, travaux neufs (hors mécanique, électromécanique, électronique)",16870,2600
300,473b,"Techniciens de recherche-développement et des méthodes de fabrication en électricité, électromécanique et électronique",24170,2600
301,486d,"Agents de maîtrise en maintenance, installation en mécanique",29660,2600
302,466b,Responsables commerciaux et administratifs des transports de marchandises (non cadres),8590,2600
304,475a,Techniciens de recherche-développement et des méthodes de production des industries de transformation,38300,2600
305,474c,Techniciens de fabrication et de contrôle-qualité en construction mécanique et travail des métaux,39550,2600
306,467c,Professions intermédiaires techniques et commerciales des assurances,48790,2600
307,220x,"Commerçants et assimilés, salariés de leur entreprise",79180,2600
41,431f,"Infirmiers en soins généraux, salariés",236630,2600
40,451c,"Contrôleurs des Impôts, du Trésor, des Douanes et assimilés",44500,2600
39,531a,Agents de police de l'Etat,113680,2600
38,343a,Psychologues spécialistes de l'orientation scolaire et professionnelle,10450,2600
37,533a,Pompiers (y.c. pompiers militaires),33000,2600
36,433a,Techniciens médicaux,36470,2600
303,466c,Responsables d'exploitation des transports de voyageurs et de marchandises (non cadres),40940,2600
312,481a,Conducteurs de travaux (non cadres),37750,2700
310,354e,Artistes de la danse,1760,2700
311,481b,Chefs de chantier (non cadres),65580,2700
313,466a,Responsables commerciaux et administratifs des transports de voyageurs et du tourisme (non cadres),18260,2700
309,485b,"Agents de maîtrise en fabrication des autres industries (imprimerie, matériaux souples, ameublement et bois)",9840,2700
315,475b,Techniciens de production et de contrôle-qualité des industries de transformation,55750,2700
